Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,SHORT_GR_LONG,Signal,Buy & Sell
2020-03-20,1630.0,1869.0,1627.0,1797.449951171875,1737.3671875,8547498,1948.2275024414062,2084.4190087890624,0,,NULL
2020-03-23,1620.0,1750.0,1617.75,1669.699951171875,1613.8875732421875,7003490,1923.8724975585938,2073.526005859375,0,0.0,NULL
2020-03-24,1653.050048828125,1770.0,1632.8499755859375,1703.1500244140625,1646.2196044921875,6350865,1903.2624938964843,2063.318005371094,0,0.0,NULL
2020-03-25,1700.0,1810.0,1680.0,1750.300048828125,1691.79345703125,2765520,1882.9700012207031,2054.5170043945313,0,0.0,NULL
2020-03-26,1831.5999755859375,1832.050048828125,1722.550048828125,1790.949951171875,1731.08447265625,4556067,1866.3374938964844,2046.1980053710938,0,0.0,NULL
2020-03-27,1820.0,1850.0,1750.4000244140625,1824.5,1763.51318359375,4331250,1852.2874938964844,2038.1500073242187,0,0.0,NULL
2020-03-30,1766.0,1905.0,1763.550048828125,1778.5,1719.05078125,8513547,1841.2049926757813,2028.9440063476563,0,0.0,NULL
2020-03-31,1837.4000244140625,1855.0,1780.0,1826.0999755859375,1765.0595703125,3927593,1832.4449890136718,2021.08400390625,0,0.0,NULL
2020-04-01,1825.9000244140625,1834.75,1702.0,1708.75,1651.63232421875,4941878,1816.072491455078,2011.852001953125,0,0.0,NULL
2020-04-03,1740.0,1740.0,1650.0,1654.199951171875,1598.9056396484375,5735369,1794.622491455078,2001.515,0,0.0,NULL
2020-04-07,1710.0,1785.8499755859375,1705.0,1775.199951171875,1715.861083984375,5427577,1777.1299865722656,1992.8810009765625,0,0.0,NULL
2020-04-08,1760.0,1806.0,1701.0,1705.449951171875,1648.442626953125,6285615,1756.5799865722656,1983.1710009765625,0,0.0,NULL
2020-04-09,1750.449951171875,1778.800048828125,1731.199951171875,1766.1500244140625,1707.113525390625,5307397,1746.2699890136719,1974.8260034179686,0,0.0,NULL
2020-04-13,1761.0,1787.0,1746.0,1759.25,1700.4444580078125,2990438,1736.5474914550782,1966.6260034179688,0,0.0,NULL
2020-04-15,1785.0,1812.0,1727.800048828125,1735.1500244140625,1677.149658203125,4761399,1734.8124938964843,1957.65400390625,0,0.0,NULL
2020-04-16,1709.949951171875,1764.9000244140625,1675.050048828125,1716.050048828125,1658.6884765625,6245533,1730.2999938964845,1948.8830029296876,0,0.0,NULL
2020-04-17,1800.0,1851.949951171875,1753.0,1806.199951171875,1745.824951171875,9895823,1735.789990234375,1942.25,0,0.0,NULL
2020-04-20,1830.0,1830.0,1802.5,1818.6500244140625,1757.8587646484375,3244282,1743.822491455078,1937.0419995117188,0,0.0,NULL
2020-04-21,1765.0,1794.5999755859375,1727.699951171875,1737.6500244140625,1679.5660400390625,5122541,1747.9849914550782,1929.745,0,0.0,NULL
2020-04-22,1737.6500244140625,1790.0,1719.1500244140625,1769.5,1710.3514404296875,3829836,1754.6424926757813,1922.98,0,0.0,NULL
2020-04-23,1780.0,1900.0,1760.8499755859375,1878.25,1815.4664306640625,5934366,1758.6824951171875,1917.6139990234376,0,0.0,NULL
2020-04-24,1840.699951171875,1851.949951171875,1807.800048828125,1818.550048828125,1757.761962890625,2987102,1766.125,1911.417998046875,0,0.0,NULL
2020-04-27,1832.300048828125,1875.0,1825.0,1836.5999755859375,1775.20849609375,3374741,1772.7974975585937,1905.4189965820312,0,0.0,NULL
