Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,SHORT_GR_LONG,Signal,Buy & Sell
2020-03-19,385.3500061035156,432.54998779296875,385.3500061035156,416.95001220703125,414.5625,8358736,526.8625,569.5440002441406,0,,NULL
2020-03-20,425.1000061035156,442.0,411.29998779296875,418.1000061035156,415.7059020996094,4857316,518.8125015258789,565.3290008544922,0,0.0,NULL
2020-03-23,377.5,394.3999938964844,340.0,342.29998779296875,340.33990478515625,4439246,507.2525009155273,559.5450006103515,0,0.0,NULL
2020-03-24,362.0,409.0,345.8500061035156,391.29998779296875,389.0593566894531,5260142,498.77750091552736,554.9090008544922,0,0.0,NULL
2020-03-25,390.0,440.0,385.6000061035156,434.29998779296875,431.8131103515625,6171029,492.01750030517576,551.0870001220703,0,0.0,NULL
2020-03-26,448.0,487.0,434.0,477.45001220703125,474.7160339355469,6462048,488.0375015258789,548.3510003662109,0,0.0,NULL
2020-03-27,450.20001220703125,483.79998779296875,440.0,441.0,438.4747619628906,14440511,481.7525009155273,544.8400006103516,0,0.0,NULL
2020-03-30,432.0,443.8999938964844,407.0,412.5,410.1379699707031,7106515,475.1725021362305,540.9400006103516,0,0.0,NULL
2020-03-31,429.0,448.20001220703125,414.3999938964844,441.3500061035156,438.82275390625,5414961,469.51500244140624,537.6140002441406,0,0.0,NULL
2020-04-01,438.1000061035156,447.3999938964844,424.04998779296875,429.8999938964844,427.4383239746094,7414297,462.83500213623046,534.2470001220703,0,0.0,NULL
2020-04-03,428.5,442.0,416.20001220703125,422.29998779296875,419.8818359375,6997591,455.520002746582,530.6529998779297,0,0.0,NULL
2020-04-07,436.8999938964844,476.0,433.25,470.5,467.8058166503906,6387600,450.7975021362305,527.8079998779297,0,0.0,NULL
2020-04-08,464.95001220703125,500.54998779296875,457.3999938964844,476.6000061035156,473.87091064453125,7175190,447.2200012207031,525.02,0,0.0,NULL
2020-04-09,488.8999938964844,494.3999938964844,464.1499938964844,472.25,469.54583740234375,3633315,444.95,522.32,0,0.0,NULL
2020-04-13,473.0,482.75,453.29998779296875,477.79998779296875,475.0639953613281,4143591,443.1625,519.8819995117187,0,0.0,NULL
2020-04-15,481.70001220703125,488.70001220703125,468.5,471.70001220703125,468.9989929199219,3951803,443.10250091552734,517.2409997558593,0,0.0,NULL
2020-04-16,470.0,494.3999938964844,462.0,489.70001220703125,486.8959045410156,5065255,442.23000183105466,514.9340002441406,0,0.0,NULL
2020-04-17,505.0,518.9500122070312,491.5,495.5,492.6626892089844,6523417,443.2950012207031,512.835,0,0.0,NULL
